Desa,Kecamatan,Balita,Anak-Anak,Remaja Awal,Remaja Akhir,Dewasa Awal,Dewasa Akhir,Lansia Awal,Lansia Akhir,Manula Atas,Jumlah KK,laki-laki,perempuan
Kamal,KAMAL,409,595,1507,748,1045,1225,1227,717,461,2378,3866,4068
,BANYUAJUH,838,118,2488,1179,1990,2325,2075,1493,1140,4563,7146,7562
,GILI BARAT,126,181,311,128,334,299,306,200,87,616,985,987
,GILI TIMUR,315,415,810,350,735,814,706,453,339,1483,2386,2551
,GILI ANYAR,261,332,605,286,571,621,503,392,197,1155,1856,1912
,TELANG,149,182,429,216,377,369,392,321,178,814,1283,1330
,PENDABAH,217,374,682,311,698,715,551,374,288,1190,2038,2172
,TAJUNGAN,177,249,483,214,484,374,297,242,127,746,1340,1307
,KEBUN,217,344,741,366,598,766,640,462,265,1405,2168,2231
,TANJUNG JATI,124,216,421,228,343,359,336,243,137,727,1158,1249
Labang,KESEK,205,280,553,274,479,521,464,320,245,1043,1613,1728
,LABANG,152,243,444,201,397,444,316,187,153,763,1232,1305
,JUKONG,139,268,463,258,498,469,493,354,292,918,1554,1680
,PANGPONG,186,261,527,298,462,458,432,274,193,913,1508,1583
,SUKOLILO TIMUR,202,255,493,293,523,430,358,236,196,868,1467,1519
,SUKOLILO BARAT,446,590,1190,633,1109,1083,917,672,417,2063,3497,3560
,BRINGEN,130,203,380,215,420,356,332,251,256,736,1207,1336
,BA'ENGAS,253,374,695,340,697,637,453,317,194,1131,1962,1998
,BUNAJIH,140,166,292,184,382,311,244,205,164,593,1046,1042
,SENDANG LAOK,69,117,222,121,258,254,219,155,88,450,743,760
,SENDANG DAJAH,138,192,449,218,483,425,355,207,169,640,1305,1331
,PETAPAN,130,165,417,195,353,330,251,168,149,608,1075,1083
,MORKEPEK,104,146,331,161,275,310,230,132,121,497,891,919
Kwanyar,Pasanggrahan,348,433,898,472,850,829,743,498,324,1624,2629,2766
,Kwanyar barat,263,357,741,379,652,767,584,373,198,1249,2174,2140
,ketetang,266,391,735,382,647,689,499,383,240,1212,2135,2097
,Dlemer,153,195,396,208,379,373,310,231,161,647,1207,1199
,Morombuh,314,447,922,478,873,729,548,413,398,1322,2474,2648
,Tebul,152,190,341,170,347,285,249,168,128,594,1026,1004
,Karang Anyar,135,183,498,264,478,414,394,251,167,747,1341,1443
,janteh,113,181,350,170,326,328,260,163,210,555,1036,1065
,Sumur Koneng,314,337,771,401,819,794,571,386,418,1215,2376,2435
,Paoran,76,132,237,133,277,245,207,143,127,423,768,809
,Karangentang,129,155,295,170,343,305,208,155,95,501,921,934
,Batah Barat,134,212,480,305,449,449,499,353,159,888,1482,1558
,Batah Timur,165,255,579,331,552,549,431,385,264,1000,1691,1820
,Pandanan,91,100,242,139,254,238,147,106,78,377,674,721
,Gunung Spereng,322,448,1037,527,1093,927,590,406,398,1411,2831,2917
,Duwek Buter,128,164,341,252,403,346,271,209,287,669,1176,1225
Modung,Patereman,294,329,689,373,600,618,524,434,288,1276,2039,2110
,paeng,130,163,335,177,307,269,228,139,127,512,931,947
,Kolla,188,228,507,248,476,504,397,280,210,863,1471,1567
,Neroh,81,77,206,128,258,181,171,132,122,369,649,707
,Langpanggang,143,123,252,166,267,196,181,159,147,490,825,809
,Patengteng,368,437,976,598,1098,949,606,630,752,1870,3075,3339
,Srabi Barat,207,249,542,310,509,449,374,248,301,916,1531,1658
